iter	Passed	Remaining
590	7322	5067
591	7333	5054
592	7344	5040
593	7354	5027
594	7367	5014
595	7377	5000
596	7387	4987
597	7400	4975
598	7411	4961
599	7421	4947
600	7431	4933
601	7442	4920
602	7454	4908
603	7465	4894
604	7480	4883
605	7490	4870
606	7501	4856
607	7512	4843
608	7522	4829
609	7532	4815
610	7543	4802
611	7554	4789
612	7565	4776
613	7576	4763
614	7588	4750
615	7599	4737
616	7608	4723
617	7619	4709
618	7630	4696
619	7640	4683
620	7651	4670
621	7662	4656
622	7673	4643
623	7683	4629
624	7695	4617
625	7705	4603
626	7715	4589
627	7725	4576
628	7735	4562
629	7745	4548
630	7757	4536
631	7768	4523
632	7778	4509
633	7790	4497
634	7800	4483
635	7811	4470
636	7821	4457
637	7832	4444
638	7842	4430
639	7853	4417
640	7865	4405
641	7876	4392
642	7887	4379
643	7899	4366
644	7909	4353
645	7920	4340
646	7930	4326
647	7941	4313
648	7952	4300
649	7962	4287
650	7973	4274
651	7984	4261
652	7996	4249
653	8007	4236
654	8017	4223
655	8028	4210
656	8039	4196
657	8049	4183
658	8059	4170
659	8070	4157
660	8081	4144
661	8091	4131
662	8103	4118
663	8113	4105
664	8124	4092
665	8133	4079
666	8145	4066
667	8156	4054
668	8166	4040
669	8177	4027
670	8187	4014
671	8198	4001
672	8210	3989
673	8222	3976
674	8234	3964
675	8248	3953
676	8262	3941
677	8274	3929
678	8286	3917
679	8302	3907
680	8315	3895
681	8327	3882
682	8339	3870
683	8351	3858
684	8365	3846
685	8377	3834
686	8388	3821
687	8400	3809
688	8412	3797
689	8422	3784
690	8433	3771
691	8443	3758
692	8454	3745
693	8464	3732
694	8475	3719
695	8486	3706
696	8497	3694
697	8508	3681
698	8520	3668
699	8530	3656
700	8541	3643
701	8553	3631
702	8564	3618
703	8575	3605
704	8585	3592
705	8596	3579
706	8607	3567
707	8618	3554
708	8629	3541
709	8640	3529
710	8652	3516
711	8663	3504
712	8675	3492
713	8687	3479
714	8700	3468
